2025;1;10;8;15;-7
2025;1;20;14;30;-10
2025;1;25;19;45;-15
2025;2;5;9;20;-3
2025;2;15;12;40;1
2025;2;28;16;55;4
2025;3;8;7;25;5
2025;3;18;13;35;9
2025;3;30;18;45;12
2025;4;3;10;10;8
2025;4;12;15;25;14
2025;4;22;21;40;16
2025;5;1;6;15;18
2025;5;15;11;30;22
2025;5;31;17;45;25
2025;6;7;9;20;27
2025;6;21;14;35;30
2025;6;30;20;50;32
2025;7;4;8;5;28
2025;7;14;12;15;31
2025;7;24;16;25;35
2025;8;9;10;30;30
2025;8;19;15;40;28
2025;8;29;20;50;26
2025;9;5;9;15;22
2025;9;15;14;25;19
2025;9;25;19;35;16
2025;10;2;7;45;12
2025;10;12;12;55;8
2025;10;22;18;5;5
2025;11;3;8;10;2
2025;11;13;13;20;-1
2025;11;23;18;30;-4
2025;12;7;9;40;-6
2025;12;15;14;50;-9
2025;12;31;23;59;-12
